ts,phase,elapsed_s,put_15s,isFg,startReq,finished,conflict_cum
2026-08-17T18:54:40.8845012+02:00,FG,0,6,true,true,0,0
2026-08-17T18:54:57.1903708+02:00,FG,16,3,true,true,1,0
2026-08-17T18:55:06.1456494+02:00,FG,25,0,true,true,1,0
2026-08-17T18:55:09.6935801+02:00,HOME,0,3,true,true,2,0
2026-08-17T18:55:27.0141344+02:00,HOME,17,0,true,true,1,0
2026-08-17T18:55:44.3530385+02:00,HOME,34,0,true,true,1,0
2026-08-17T18:56:01.2511865+02:00,HOME,52,3,true,true,2,0
2026-08-17T18:56:18.1689463+02:00,HOME,69,3,true,true,3,0
2026-08-17T18:56:35.2667644+02:00,HOME,85,3,true,true,4,0
2026-08-17T18:56:52.8802885+02:00,HOME,103,3,true,true,5,0
2026-08-17T18:57:09.9863878+02:00,HOME,120,3,true,true,5,0
