ts,phase,elapsed_s,put_15s,isFg,startReq,finished
2026-08-17T17:27:10.6736876+02:00,FG,0,12,true,true,0
2026-08-17T17:27:27.3483849+02:00,FG,16,30,true,true,1
2026-08-17T17:27:30.4766285+02:00,FG,20,30,true,true,1
2026-08-17T17:27:33.7917693+02:00,HOME,0,24,true,true,1
2026-08-17T17:27:50.0625654+02:00,HOME,16,3,true,true,2
2026-08-17T17:28:06.9053064+02:00,HOME,32,3,true,true,3
2026-08-17T17:28:23.2517262+02:00,HOME,49,0,true,true,3
2026-08-17T17:28:39.4502144+02:00,HOME,66,0,true,true,3
2026-08-17T17:28:55.5418306+02:00,HOME,82,3,true,true,4
2026-08-17T17:29:12.2177291+02:00,HOME,98,3,true,true,5
2026-08-17T17:29:28.4242114+02:00,HOME,115,3,true,true,5
2026-08-17T17:29:44.8486599+02:00,HOME,120,3,true,true,4
