ts,phase,elapsed_s,fgCount,isFg,startReq,finished,unregister,put_n,loc_n,dle_max_id,dle_max_seq,session
2026-08-17T17:14:11.8885484+02:00,READY,0,1,true,true,1,0,60,7,6412,158,trk_sess_1786979474208_5whqvvm6
2026-08-17T17:14:28.4616931+02:00,L1_HOME,0,1,true,true,1,0,51,7,6413,158,trk_sess_1786979474208_5whqvvm6
2026-08-17T17:15:13.1273007+02:00,L1_HOME,44,1,true,true,3,0,18,2,6413,158,trk_sess_1786979474208_5whqvvm6
2026-08-17T17:15:57.0713661+02:00,L1_HOME,89,1,true,true,5,0,9,0,6413,158,trk_sess_1786979474208_5whqvvm6
2026-08-17T17:16:42.6947609+02:00,L1_HOME,133,1,true,true,6,0,9,0,6413,158,trk_sess_1786979474208_5whqvvm6
2026-08-17T17:17:27.5845592+02:00,L1_HOME,150,1,true,true,7,0,9,0,6413,158,trk_sess_1786979474208_5whqvvm6
2026-08-17T17:17:42.4039556+02:00,L2_PRE,0,1,true,true,8,0,6,0,6413,158,trk_sess_1786979474208_5whqvvm6
2026-08-17T17:18:12.2596276+02:00,L2_DRAIN,15,-1,absent,absent,0,0,0,0,6413,158,trk_sess_1786979474208_5whqvvm6
2026-08-17T17:18:57.2006679+02:00,L2_STOP,45,-1,absent,absent,0,0,0,0,6413,158,trk_sess_1786979474208_5whqvvm6
2026-08-17T17:19:41.2764089+02:00,L2_STOP,90,-1,absent,absent,0,0,0,0,6413,158,trk_sess_1786979474208_5whqvvm6
