      service: ProviderRequest[@+8s0ms, HIGH_ACCURACY, WorkSource{10905 ch.liri.operations}]
        10231/com.google.android.gms[fused_location_provider]/F318B210 Request[@+8s0ms HIGH_ACCURACY, minUpdateInterval=0, hiddenFromAppOps, WorkSource{10905 ch.liri.operations}]
      [2026-08-16 11:50:38]: ProviderRequest[@0, HIGH_ACCURACY, WorkSource{10898 ch.liri.operations}] WorkSource{10898 ch.liri.operations}, 
      [2026-08-16 11:50:39]: ProviderRequest[@+8s0ms, HIGH_ACCURACY, WorkSource{10898 ch.liri.operations}] WorkSource{10898 ch.liri.operations}, 
      [2026-08-16 11:51:38]: ProviderRequest[@0, HIGH_ACCURACY, WorkSource{10898 ch.liri.operations}] WorkSource{10898 ch.liri.operations}, 
      [2026-08-16 11:51:41]: ProviderRequest[@+8s0ms, HIGH_ACCURACY, WorkSource{10898 ch.liri.operations}] WorkSource{10898 ch.liri.operations}, 
      [2026-08-16 11:52:38]: ProviderRequest[@0, HIGH_ACCURACY, WorkSource{10898 ch.liri.operations}] WorkSource{10898 ch.liri.operations}, 
      [2026-08-16 11:52:44]: ProviderRequest[@+8s0ms, HIGH_ACCURACY, WorkSource{10898 ch.liri.operations}] WorkSource{10898 ch.liri.operations}, 
      [2026-08-16 11:53:38]: ProviderRequest[@0, HIGH_ACCURACY, WorkSource{10898 ch.liri.operations}] WorkSource{10898 ch.liri.operations}, 
      [2026-08-16 11:53:40]: ProviderRequest[@+8s0ms, HIGH_ACCURACY, WorkSource{10898 ch.liri.operations}] WorkSource{10898 ch.liri.operations}, 
      [2026-08-16 11:58:00]: ProviderRequest[@0, HIGH_ACCURACY, WorkSource{10898 ch.liri.operations}] WorkSource{10898 ch.liri.operations}, 
      [2026-08-16 11:58:02]: ProviderRequest[@+8s0ms, HIGH_ACCURACY, WorkSource{10898 ch.liri.operations}] WorkSource{10898 ch.liri.operations}, 
      [2026-08-16 11:58:25]: ProviderRequest[@0, HIGH_ACCURACY, WorkSource{10898 ch.liri.operations}] WorkSource{10898 ch.liri.operations}, 
      [2026-08-16 11:58:28]: ProviderRequest[@+8s0ms, HIGH_ACCURACY, WorkSource{10898 ch.liri.operations}] WorkSource{10898 ch.liri.operations}, 
      [2026-08-16 11:58:50]: ProviderRequest[@0, HIGH_ACCURACY, WorkSource{10898 ch.liri.operations}] WorkSource{10898 ch.liri.operations}, 
      [2026-08-16 11:58:53]: ProviderRequest[@+8s0ms, HIGH_ACCURACY, WorkSource{10898 ch.liri.operations}] WorkSource{10898 ch.liri.operations}, 
      [2026-08-16 11:59:27]: ProviderRequest[@0, HIGH_ACCURACY, WorkSource{10898 ch.liri.operations}] WorkSource{10898 ch.liri.operations}, 
      [2026-08-16 11:59:31]: ProviderRequest[@+8s0ms, HIGH_ACCURACY, WorkSource{10898 ch.liri.operations}] WorkSource{10898 ch.liri.operations}, 
      [2026-08-16 11:59:47]: ProviderRequest[@0, HIGH_ACCURACY, WorkSource{10898 ch.liri.operations}] WorkSource{10898 ch.liri.operations}, 
      [2026-08-16 11:59:49]: ProviderRequest[@+8s0ms, HIGH_ACCURACY, WorkSource{10898 ch.liri.operations}] WorkSource{10898 ch.liri.operations}, 
      [2026-08-16 12:03:56]: ProviderRequest[@0, HIGH_ACCURACY, WorkSource{10898 ch.liri.operations}] WorkSource{10898 ch.liri.operations}, 
      [2026-08-16 12:03:59]: ProviderRequest[@+8s0ms, HIGH_ACCURACY, WorkSource{10898 ch.liri.operations}] WorkSource{10898 ch.liri.operations}, 
      [2026-08-16 12:04:29]: ProviderRequest[@0, HIGH_ACCURACY, WorkSource{10898 ch.liri.operations}] WorkSource{10898 ch.liri.operations}, 
      [2026-08-16 12:04:29]: ProviderRequest[@+8s0ms, HIGH_ACCURACY, WorkSource{10898 ch.liri.operations}] WorkSource{10898 ch.liri.operations}, 
