ts,phase,cycle,elapsed_s,fgCount,binds,isFg,startReq,finished_delta,unregister_delta,put_n,loc_n,note
2026-08-17T01:17:48.8061565+02:00,FG,1,0,9,9,true,true,0,0,24,-1,transient=0
2026-08-17T01:18:24.8752618+02:00,FG,1,36,9,9,true,true,1,0,75,-1,transient=0
2026-08-17T01:19:01.3729712+02:00,FG,1,40,9,9,true,true,1,0,90,-1,transient=0
2026-08-17T01:19:17.5490836+02:00,HOME,1,0,9,9,true,true,1,0,60,-1,transient=0
2026-08-17T01:19:53.6434714+02:00,HOME,1,36,9,9,true,true,1,0,6,-1,transient=0
2026-08-17T01:20:29.9920907+02:00,HOME,1,40,9,9,true,true,1,0,12,-1,transient=0
2026-08-17T01:20:48.0180710+02:00,FG,2,0,9,9,true,true,2,0,18,-1,transient=0
2026-08-17T01:21:29.2962587+02:00,FG,2,38,9,9,true,true,1,0,76,-1,transient=0
2026-08-17T01:22:08.5076460+02:00,FG,2,40,9,9,true,true,1,0,66,-1,transient=0
2026-08-17T01:22:24.5428571+02:00,HOME,2,0,9,9,true,true,1,0,54,-1,transient=0
2026-08-17T01:23:01.2624607+02:00,HOME,2,36,9,9,true,true,2,0,18,-1,transient=0
2026-08-17T01:23:37.1922745+02:00,HOME,2,40,9,9,true,true,2,0,12,-1,transient=0
2026-08-17T01:23:54.3180293+02:00,FG,3,0,9,9,true,true,2,0,15,-1,transient=0
2026-08-17T01:24:32.4185486+02:00,FG,3,37,9,9,true,true,1,0,54,-1,transient=0
2026-08-17T01:25:11.8296570+02:00,FG,3,40,9,9,true,true,1,0,28,-1,transient=0
2026-08-17T01:25:27.9249863+02:00,HOME,3,0,9,9,true,true,1,0,15,-1,transient=0
2026-08-17T01:26:04.6104372+02:00,HOME,3,36,9,9,true,true,0,0,8,-1,transient=0
2026-08-17T01:26:40.9532607+02:00,HOME,3,40,9,9,true,true,1,0,6,-1,transient=0
2026-08-17T01:26:57.5832568+02:00,FG,4,0,9,9,true,true,2,0,14,-1,transient=0
2026-08-17T01:27:34.2772398+02:00,FG,4,36,9,9,true,true,1,0,34,-1,transient=0
2026-08-17T01:28:10.5250242+02:00,FG,4,40,9,9,true,true,1,0,18,-1,transient=0
2026-08-17T01:28:27.3183982+02:00,HOME,4,0,9,9,true,true,1,0,10,-1,transient=0
2026-08-17T01:29:04.7680496+02:00,HOME,4,37,9,9,true,true,1,0,5,-1,transient=0
2026-08-17T01:29:42.5567909+02:00,HOME,4,40,9,9,true,true,1,0,8,-1,transient=0
2026-08-17T01:29:59.1669133+02:00,FG,5,0,9,9,true,true,1,0,15,-1,transient=0
2026-08-17T01:30:38.5729342+02:00,FG,5,36,9,9,true,true,1,0,26,-1,transient=0
2026-08-17T01:31:19.6934132+02:00,FG,5,40,9,9,true,true,0,0,17,-1,transient=0
2026-08-17T01:31:36.9958083+02:00,HOME,5,0,9,9,true,true,1,0,16,-1,transient=0
2026-08-17T01:32:14.2274782+02:00,HOME,5,37,9,9,true,true,1,0,9,-1,transient=0
2026-08-17T01:32:51.5843427+02:00,HOME,5,40,9,9,true,true,3,0,8,-1,transient=0
2026-08-17T01:33:14.0808423+02:00,FG,6,0,9,9,true,true,2,0,18,-1,transient=0
2026-08-17T01:33:54.5554444+02:00,FG,6,40,9,9,true,true,1,0,47,-1,transient=0
2026-08-17T01:34:15.0659274+02:00,HOME,6,0,9,9,true,true,1,0,45,-1,transient=0
2026-08-17T01:34:51.3117481+02:00,HOME,6,40,9,9,true,true,1,0,21,-1,transient=0
2026-08-17T01:35:08.0845704+02:00,FG,7,0,9,9,true,true,2,0,12,-1,transient=0
2026-08-17T01:35:44.4020996+02:00,FG,7,37,9,9,true,true,3,0,12,-1,transient=0
2026-08-17T01:36:21.4058481+02:00,FG,7,40,9,9,true,true,4,0,12,-1,transient=0
2026-08-17T01:36:37.8810697+02:00,HOME,7,0,9,9,true,true,2,0,12,-1,transient=0
2026-08-17T01:37:14.5396710+02:00,HOME,7,36,9,9,true,true,0,0,60,-1,transient=0
2026-08-17T01:37:51.1147855+02:00,HOME,7,40,9,9,true,true,2,0,48,-1,transient=0
2026-08-17T01:38:07.6363296+02:00,FG,8,0,9,9,true,true,2,0,21,-1,transient=0
2026-08-17T01:38:43.3754995+02:00,FG,8,36,9,9,true,true,0,0,51,-1,transient=0
2026-08-17T01:39:19.8402912+02:00,FG,8,40,9,9,true,true,1,0,63,-1,transient=0
2026-08-17T01:39:36.4111454+02:00,HOME,8,0,9,9,true,true,1,0,56,-1,transient=0
2026-08-17T01:40:13.0773623+02:00,HOME,8,36,9,9,true,true,1,0,27,-1,transient=0
2026-08-17T01:40:49.8015762+02:00,HOME,8,40,9,9,true,true,1,0,9,-1,transient=0
