ts,phase,elapsed_s,fgCount,binds,isFg,startReq,finished_delta,unregister_delta,put_n,loc_n,note
2026-08-17T02:20:53.3751622+02:00,PRE,0,1,1,true,true,0,0,63,-1,c3=0
2026-08-17T02:21:29.1833350+02:00,PRE,37,1,1,true,true,1,0,60,-1,c3=0
2026-08-17T02:22:06.6812523+02:00,PRE,60,1,1,true,true,1,0,60,-1,c3=0
2026-08-17T02:22:27.5866785+02:00,INJECT,0,1,1,true,true,2,0,61,-1,c3=3
2026-08-17T02:22:43.5519575+02:00,POST,0,1,1,true,true,1,0,57,-1,c3=3
2026-08-17T02:23:19.9752410+02:00,POST,36,2,2,true,true,2,0,58,-1,c3=0
2026-08-17T02:23:55.7423128+02:00,POST,72,2,2,true,true,1,0,72,-1,c3=0
2026-08-17T02:24:32.2557885+02:00,POST,108,2,2,true,true,2,0,59,-1,c3=0
2026-08-17T02:25:08.8708827+02:00,POST,145,2,2,true,true,2,0,60,-1,c3=0
2026-08-17T02:25:45.3602429+02:00,POST,180,2,2,true,true,1,0,63,-1,c3=0
