ts,phase,elapsed_s,fgCount,binds,isFg,startReq,finished_delta,unregister_delta,put_n,loc_n,note
2026-08-17T03:02:34.8713539+02:00,PRE,0,1,1,true,true,0,0,53,-1,c4=0;l1=0
2026-08-17T03:03:11.6835706+02:00,PRE,37,1,1,true,true,1,0,62,-1,c4=0;l1=0
2026-08-17T03:03:48.4947654+02:00,PRE,60,1,1,true,true,1,0,3,-1,c4=0;l1=0
2026-08-17T03:04:13.2155203+02:00,INJECT,0,1,1,true,true,0,0,19,-1,c4=3;l1=1
2026-08-17T03:04:29.4518168+02:00,POST,0,2,2,true,true,0,0,49,-1,c4=0;l1=0
2026-08-17T03:05:06.7071025+02:00,POST,36,2,2,true,true,1,0,73,-1,c4=0;l1=0
2026-08-17T03:05:42.6463021+02:00,POST,73,2,2,true,true,2,0,53,-1,c4=0;l1=0
2026-08-17T03:06:19.7765090+02:00,POST,109,3,3,true,true,1,0,84,-1,c4=0;l1=0
2026-08-17T03:06:55.9773212+02:00,POST,147,3,3,true,true,0,0,81,-1,c4=0;l1=0
2026-08-17T03:07:33.2452507+02:00,POST,180,3,3,true,true,0,0,48,-1,c4=0;l1=0
