ts,phase,elapsed_s,fgCount,binds,isFg,startReq,finished_delta,unregister_delta,put_n,loc_n,note
2026-08-17T03:50:33.8102040+02:00,PRE,0,1,1,true,true,1,0,72,-1,c4=0;l1=0;native=2
2026-08-17T03:51:10.1057235+02:00,PRE,37,1,1,true,true,1,0,60,-1,c4=0;l1=0;native=4
2026-08-17T03:51:46.8017410+02:00,PRE,60,1,1,true,true,2,0,50,-1,c4=0;l1=0;native=6
2026-08-17T03:52:11.4053141+02:00,INJECT,0,1,1,true,true,1,0,60,-1,c4=4;l1=1;native=11
2026-08-17T03:52:27.9365120+02:00,POST,0,2,2,true,true,1,1,66,-1,c4=1;l1=1;native=17
2026-08-17T03:53:05.1608064+02:00,POST,36,2,2,true,true,1,0,60,-1,c4=0;l1=0;native=8
2026-08-17T03:53:41.1464366+02:00,POST,74,2,2,true,true,1,0,63,-1,c4=0;l1=0;native=6
2026-08-17T03:54:17.4478273+02:00,POST,110,2,2,true,true,2,0,56,-1,c4=0;l1=0;native=6
2026-08-17T03:54:56.4477073+02:00,POST,146,2,2,true,true,2,0,60,-1,c4=0;l1=0;native=6
2026-08-17T03:55:33.2689676+02:00,POST,180,2,2,true,true,2,0,60,-1,c4=0;l1=0;native=4
