ts,phase,elapsed_s,fgCount,binds,isFg,startReq,finished_delta,unavailable_delta,put_n,loc_n,note
2026-08-16T21:14:14.7409806+02:00,FG1,0,1,1,true,true,0,0,47,47,
2026-08-16T21:15:01.1187150+02:00,FG1,47,1,1,true,true,1,2,29,29,
2026-08-16T21:15:48.2454655+02:00,FG1,93,1,1,true,true,1,2,21,21,
2026-08-16T21:16:34.4769924+02:00,FG1,141,1,1,true,true,0,0,24,24,
2026-08-16T21:17:22.0305529+02:00,FG1,187,1,1,true,true,1,2,25,25,
2026-08-16T21:18:10.3384878+02:00,FG1,234,1,1,true,true,0,2,22,22,
2026-08-16T21:18:59.5904735+02:00,FG1,283,1,1,true,true,0,1,19,19,
2026-08-16T21:19:48.2573172+02:00,FG1,300,42,43,NA,false,0,0,21,21,FGCOUNT_UP_1_to_42;BINDS_UP_1_to_43
2026-08-16T21:20:07.1797042+02:00,HOME1,0,58,59,NA,false,0,0,12,12,FGCOUNT_UP_42_to_58;BINDS_UP_43_to_59
2026-08-16T21:20:55.0942635+02:00,HOME1,49,69,70,NA,false,0,0,0,0,FGCOUNT_UP_58_to_69;BINDS_UP_59_to_70
2026-08-16T21:21:42.6461484+02:00,HOME1,97,19,19,NA,false,0,0,3,3,
2026-08-16T21:22:29.5898235+02:00,HOME1,144,19,19,NA,false,0,0,3,3,
2026-08-16T21:23:17.2463641+02:00,HOME1,191,19,19,NA,false,0,0,0,0,
2026-08-16T21:24:04.2070399+02:00,HOME1,239,19,19,NA,false,0,0,0,0,
2026-08-16T21:24:52.5372222+02:00,HOME1,286,19,19,NA,false,0,0,0,0,
2026-08-16T21:25:39.9624088+02:00,HOME1,300,19,19,NA,false,0,0,0,0,
2026-08-16T21:25:58.1690323+02:00,FG2,0,19,19,NA,false,0,0,0,0,
2026-08-16T21:26:45.1660335+02:00,FG2,48,19,19,NA,false,0,0,0,0,
2026-08-16T21:27:32.9877329+02:00,FG2,95,19,19,NA,false,0,0,0,0,
2026-08-16T21:28:20.9826435+02:00,FG2,143,19,19,NA,false,0,0,0,0,
2026-08-16T21:29:09.3877262+02:00,FG2,191,19,19,NA,false,0,0,0,0,
2026-08-16T21:29:58.5237722+02:00,FG2,239,19,19,NA,false,0,0,0,0,
2026-08-16T21:30:46.1640569+02:00,FG2,288,19,19,NA,false,0,0,0,0,
2026-08-16T21:31:39.4660200+02:00,FG2,300,19,19,NA,false,0,0,0,0,
2026-08-16T21:31:58.9295960+02:00,HOME2,0,19,19,NA,false,0,0,0,0,
2026-08-16T21:32:45.8676307+02:00,HOME2,49,19,19,NA,false,0,0,0,0,
2026-08-16T21:33:33.9075581+02:00,HOME2,96,19,19,NA,false,0,0,0,0,
2026-08-16T21:34:21.7555602+02:00,HOME2,144,19,19,NA,false,0,0,0,0,
2026-08-16T21:35:12.5126402+02:00,HOME2,192,19,19,NA,false,0,0,0,0,
2026-08-16T21:35:59.3895239+02:00,HOME2,243,19,19,NA,false,0,0,0,0,
2026-08-16T21:36:46.9165279+02:00,HOME2,290,19,19,NA,false,0,0,0,0,
2026-08-16T21:37:33.5790751+02:00,HOME2,300,19,19,NA,false,0,0,0,0,
