id_ligne,domaine,endpoint_ops,endpoint_unified_actuel,methodes,payload_request_ref,payload_response_ref,statut,canonique_retenu,action,owner,besoin_backend_ref,test_contrat_ref,rupture_acceptee,rupture_texte,validateur_produit,motivation_driver_optional
P0-CHAT-001,chat_dispatch,"GET/POST /dispatch/v1/chat/messages (mobile/operations-app/services/enterpriseDispatch.ts)","GET/POST /dispatch/v1/messages (mobile/unified-app/src/features/company/api/companyApi.ts)",GET|POST,"mobile/operations-app/services/enterpriseDispatch.ts#getDispatchMessages|sendDispatchMessage","mobile/unified-app/src/features/company/api/companyApi.ts#getCompanyDispatchMessages|sendCompanyDispatchMessage",Adaptateur_client_requis,"/dispatch/v1/messages (primary) with fallback /dispatch/v1/chat/messages","Implement fallback adapter in companyApi and normalize payload shape in one place",Mobile Platform + Backend API,BACKEND-CHAT-ALIAS-2026,mobile/unified-app/src/features/company/api/companyApi.test.ts,non,,, 
P0-MODE-001,dispatch_modes,"GET/PUT /dispatch/v1/mode (operations)","GET /dispatch/v1/modes + POST /dispatch/v1/modes/switch (unified)",GET|PUT|POST,"mobile/operations-app/services/enterpriseDispatch.ts#getDispatchModes|switchDispatchMode","mobile/unified-app/src/features/company/api/companyApi.ts#getCompanyDispatchModes|switchCompanyDispatchMode",Adaptateur_client_requis,"/dispatch/v1/modes + /dispatch/v1/modes/switch (primary) fallback /dispatch/v1/mode","Fallback adapter + contract tests for both server variants",Mobile Platform + Backend API,BACKEND-DISPATCH-MODE-2026,mobile/unified-app/src/features/company/api/companyApi.test.ts,non,,, 
P0-RESET-001,dispatch_reset,"POST /dispatch/v1/reset","POST /dispatch/v1/reset-assignments",POST,"mobile/operations-app/services/enterpriseDispatch.ts#resetAssignments","mobile/unified-app/src/features/company/api/companyApi.ts#resetCompanyAssignments",Adaptateur_client_requis,"/dispatch/v1/reset-assignments (primary) fallback /dispatch/v1/reset","Implement fallback and preserve date payload parity",Mobile Platform,BACKEND-DISPATCH-RESET-2026,mobile/unified-app/src/features/company/api/companyApi.test.ts,non,,, 
P0-ADDR-001,address_search,"GET /dispatch/v1/addresses/search?q=...","GET /dispatch/v1/places/autocomplete?q=...",GET,"mobile/operations-app/services/enterpriseDispatch.ts#searchAddresses","mobile/unified-app/src/features/company/api/companyApi.ts#searchCompanyAddresses",Adaptateur_client_requis,"/dispatch/v1/places/autocomplete (primary) fallback /dispatch/v1/addresses/search","Add dual-path lookup in companyApi and keep UI parsing stable",Mobile Platform + Dispatch UX,BACKEND-PLACES-ALIAS-2026,mobile/unified-app/src/features/company/api/companyApi.test.ts,non,,, 
P0-CLIENTS-001,client_search,"GET /dispatch/v1/clients/search?q=...","GET /dispatch/v1/clients?q=...",GET,"mobile/operations-app/services/enterpriseDispatch.ts#searchClients","mobile/unified-app/src/features/company/api/companyApi.ts#searchCompanyClients",Adaptateur_client_requis,"/dispatch/v1/clients (primary) fallback /dispatch/v1/clients/search","Implement fallback + normalize list extraction (items/results/data)",Mobile Platform + Backend API,BACKEND-CLIENTS-SEARCH-2026,mobile/unified-app/src/features/company/api/companyApi.test.ts,non,,, 
P0-CLIENTS-002,client_create,"POST /companies/me/clients (standard API)","POST /dispatch/v1/clients/create",POST,"mobile/operations-app/services/enterpriseDispatch.ts#createClient","mobile/unified-app/src/features/company/api/companyApi.ts#createCompanyClient",Alias_backend,"/dispatch/v1/clients/create canonical for unified, /companies/me/clients accepted alias","Try canonical first, fallback alias for backward compatibility, keep header context",Mobile Platform + Backend API,BACKEND-CLIENT-CREATE-ALIAS-2026,mobile/unified-app/src/features/company/api/companyApi.test.ts,non,,, 
P0-OPP-001,opportunity_apply,"reassign flow via /dispatch/v1/rides/:id/reassign","POST /dispatch/v1/opportunities/apply",POST,"mobile/operations-app/services/enterpriseDispatch.ts#applyOpportunity","mobile/unified-app/src/features/company/api/companyApi.ts#applyCompanyOpportunity",Alias_backend,"/dispatch/v1/opportunities/apply canonical; fallback to rides/{id}/reassign if endpoint absent","Add fallback path for opportunity apply to avoid silent feature regression",Mobile Platform + Backend API,BACKEND-OPPORTUNITY-APPLY-2026,mobile/unified-app/src/features/company/api/companyApi.test.ts,non,,, 
P0-RIDE-001,ride_detail_by_id,"GET /dispatch/v1/rides/:rideId","No direct endpoint in hooks (derived from mission list)",GET,"mobile/operations-app/services/enterpriseDispatch.ts#getDispatchRideDetails","mobile/unified-app/src/features/company/hooks.ts#useCompanyRideDetailsQuery",Gap_backend,"GET /dispatch/v1/rides/:rideId (or explicit detail endpoint)","Add dedicated getCompanyRideDetail in companyApi and use it in hook with fallback list",Mobile Platform + Backend API,BACKEND-RIDE-DETAIL-2026,mobile/unified-app/src/features/company/api/companyApi.test.ts,non,,, 
P0-SESSION-001,switch_session_company_driver,"POST /auth/me/switch-to-driver + dedicated token swap","switchContext via /auth/switch-context and bootstrap refresh",POST,"mobile/operations-app/services/enterpriseDispatch.ts#switchToDriverToken","mobile/unified-app/src/core/sessionProvider.tsx#changeContext",Rupture_acceptee,"switchContext-based unified session model","No token-swap endpoint on mobile; use context switch as source of truth",Mobile Platform + Product,PRODUCT-SESSION-MODEL-2026,manual_scenario_switch_context,oui,"Rupture assumee: plus de token swap local; la bascule role passe par context_id actif unique.",Head of Product,
P0-DRIVER-001,driver_secondary_endpoints,"GET/PUT /driver/me/profile /photo /route + history endpoints","Absent in unified driver api.ts",GET|PUT,"mobile/operations-app/services/api.ts#getMyProfile|updateMyProfile|updateMyPhoto|getMyRoute","mobile/unified-app/src/features/driver/api.ts",Adaptateur_client_requis,"Add driver secondary endpoints in unified api.ts","Implement typed endpoints and integrate in profile/trips surfaces where needed",Mobile Platform + Driver Product,BACKEND-DRIVER-SECONDARY-2026,mobile/unified-app/src/features/driver/api.test.ts,non,,,"Requis_compatibilité"
