method_key,count,mean_ms,p50_ms,p95_ms,p99_ms,sum_ms,priority_score
PUT /api/v1/driver/me/location,5489,108.81,111.0,169.0,337.36,597276,927641.0
GET /api/v1/driver/me/profile,563,643.47,648.0,1327.8,1592.28,362273,747551.4
GET /api/v1/companies/me/reservations,374,730.32,598.5,1249.7,1357.13,273140,467387.8
GET /api/v1/driver/me/bookings/since,1378,843.44,104.0,206.0,307.76,1162265,283868.0
GET /api/v1/driver/me/bookings/eta,1763,66.26,52.0,158.0,229.0,116811,278554.0
GET /api/v1/company_mobile/dispatch/v1/rides,649,160.17,86.0,389.6,491.0,103949,252850.4
GET /api/v1/company_dispatch/delays/live,947,125.61,122.0,205.0,237.0,118949,194135.0
GET /api/v1/driver/me/bookings/all,33,3823.03,3023.0,5757.8,22147.96,126160,190007.4
POST /api/v1/companies/me/reservations/manual,17,3794.88,2880.0,9542.0,10076.4,64513,162214.0
GET /api/v1/company_mobile/dispatch/v1/dashboard/realtime,206,342.5,326.5,546.75,972.85,70555,112630.5
GET /api/v1/geocode/autocomplete,120,380.43,367.5,492.35,971.78,45651,59082.0
GET /api/v1/company_dispatch/dashboard/realtime,157,138.15,95.0,364.0,426.2,21689,57148.0
GET /api/v1/companies/me/clients,159,157.8,105.0,278.7,720.86,25090,44313.3
GET /api/v1/company_dispatch/optimizer/status,868,27.85,24.0,46.3,84.98,24171,40188.4
GET /api/v1/company_mobile/dispatch/v1/addresses/search,23,1161.48,1094.0,1685.5,1822.72,26714,38766.5
GET /api/v1/companies/notifications,842,28.76,27.0,43.0,67.59,24214,36206.0
POST /api/v1/app/version-check,166,49.26,22.0,194.5,228.35,8177,32287.0
GET /api/v1/driver/me/company-bookings/today,33,848.94,590.0,904.0,6632.64,28015,29832.0
PUT /api/v1/driver/me/bookings/{id}/status,147,90.4,80.0,201.6,277.7,13289,29635.2
GET /api/v1/company_mobile/dispatch/v1/status,206,77.44,69.0,135.5,200.5,15952,27913.0
GET /api/v1/invoices/companies/{id}/invoices,56,207.41,163.0,384.0,699.5,11615,21504.0
GET /api/v1/company_dispatch/assignments,100,110.37,79.0,185.25,800.08,11037,18525.0
GET /api/v1/companies/me/drivers/locations,272,43.39,41.0,67.8,97.45,11802,18441.6
POST /api/ds/query,39,94.44,75.0,302.5,311.34,3683,11797.5
POST /api/v1/driver/save-push-token,143,41.49,34.0,77.9,102.74,5933,11139.7
GET /api/v1/company_mobile/partnerships/transfers,204,33.39,31.0,51.0,78.55,6811,10404.0
GET /api/v1/companies/me/drivers,80,68.47,54.5,121.15,152.45,5478,9692.0
GET /api/v1/company_dispatch/delays,134,41.9,40.0,65.7,94.02,5614,8803.8
GET /api/v1/company/request-offers,154,27.22,25.0,48.4,75.17,4192,7453.6
POST /api/v1/companies/me/reservations/{id}/assign,36,126.61,124.0,181.0,193.5,4558,6516.0
GET /api/v1/company_dispatch/mode,140,27.61,24.5,44.25,70.44,3866,6195.0
GET /api/v1/geocode/place-details,24,169.83,180.5,235.55,330.71,4076,5653.2
GET /api/v1/companies/me,93,29.9,28.0,51.8,64.48,2781,4817.4
POST /api/v1/auth/refresh-token,21,127.71,121.0,214.0,278.8,2682,4494.0
POST /api/v1/company_mobile/dispatch/v1/rides/{id}/reassign,11,200.82,191.0,273.5,307.5,2209,3008.5
POST /api/gateway/auth/login,9,298.33,294.0,325.0,329.8,2685,2925.0
GET /api/v1/company-settings/billing,29,58.21,54.0,96.4,105.2,1688,2795.6
GET /api/v1/platform/status,8,257.38,253.5,310.35,315.67,2059,2482.8
POST /api/v1/company_mobile/dispatch/v1/rides/{id}/assign,9,197,194.0,273.6,289.92,1773,2462.4
POST /api/v1/pricing/simulate,41,56.66,41.0,58.0,422.0,2323,2378.0
GET /api/v1/company_dispatch/advanced_settings,35,30.31,27.0,60.2,67.62,1061,2107.0
GET /api/v1/auth/csrf-token,105,10.69,10.0,16.8,25.84,1122,1764.0
GET /api/v1/clients/{id}/active-stay,20,62.95,41.5,82.25,390.05,1259,1645.0
GET /api/v1/driver/me/bookings/{id},31,36.48,35.0,51.0,53.4,1131,1581.0
POST /api/v1/companies/me/clients,5,258.4,254.0,302.0,310.0,1292,1510.0
GET /api/v1/company_mobile/auth/session,32,26.44,24.5,46.4,56.45,846,1484.8
POST /api/v1/invoices/companies/{id}/invoices/generate,1,1470,1470.0,1470.0,1470.0,1470,1470.0
GET /api/v1/public/platform-stats,22,32.59,32.5,64.8,73.11,717,1425.6
PUT /api/v1/companies/me/reservations/{id},8,133.25,132.0,165.2,167.44,1066,1321.6
GET /api/v1/osrm/route,23,56.09,41.0,56.7,361.2,1290,1304.1
